Step MaxReplicaForce MaxAtomForce GradV0 GradV1 GradVc EBF EBR RDT RD1 PE1 RD2 PE2 RDN PEN RDN PEN RDN PEN RDN PEN
250 0.10476767 0.035325329 6.6457585e-10 5.1368789e-08 1.8281564 4.1978546 4.1978546 3.9635423 0 -4117.9513 0.20002249 -4116.6003 0.40003609 -4113.7534 0.60005135 -4113.7543 0.80003135 -4116.6006 1 -4117.9513
260 0.13593698 0.088776863 5.1890798e-10 3.929092e-08 1.8349795 4.196468 4.196468 3.9635523 0 -4117.9513 0.20001814 -4116.6052 0.40002987 -4113.7548 0.60004396 -4113.7556 0.80002739 -4116.6054 1 -4117.9513
270 0.10454552 0.051493796 4.1912712e-10 3.1223697e-08 1.8383038 4.195084 4.195084 3.9635446 0 -4117.9513 0.20001539 -4116.6094 0.40002465 -4113.7562 0.60003924 -4113.7569 0.80002402 -4116.6095 1 -4117.9513
280 0.10444809 0.061440142 3.2921846e-10 2.4113181e-08 1.8436892 4.1936473 4.1936473 3.9635463 0 -4117.9513 0.20001246 -4116.6141 0.40001984 -4113.7576 0.60003438 -4113.7583 0.80002101 -4116.6141 1 -4117.9513
290 0.10376703 0.012637366 2.4709249e-10 1.7768373e-08 1.8488346 4.1918468 4.1918468 3.9635408 0 -4117.9513 0.20000983 -4116.6196 0.400012 -4113.7594 0.60003252 -4113.76 0.80001772 -4116.6195 1 -4117.9513
300 0.10359954 0.019775451 1.9610534e-10 1.3915233e-08 1.8536808 4.1904785 4.1904785 3.9635411 0 -4117.9513 0.20000717 -4116.624 0.40001084 -4113.7608 0.60002719 -4113.7613 0.80001636 -4116.6238 1 -4117.9513
310 0.10335941 0.00546277 1.538703e-10 1.0778731e-08 1.8585384 4.1890254 4.1890254 3.9635406 0 -4117.9513 0.20000564 -4116.6285 0.40000905 -4113.7622 0.60002323 -4113.7627 0.80001432 -4116.6284 1 -4117.9513
320 0.10322535 0.026277926 1.188224e-10 8.2207038e-09 1.8639916 4.1874881 4.1874881 3.9635416 0 -4117.9513 0.20000427 -4116.6333 0.40000605 -4113.7638 0.60002112 -4113.7642 0.80001252 -4116.6331 1 -4117.9513
330 0.10306804 0.032750469 9.310279e-11 6.3721185e-09 1.8687782 4.1860341 4.1860341 3.9635422 0 -4117.9513 0.20000309 -4116.6378 0.40000423 -4113.7652 0.60001885 -4113.7657 0.80001117 -4116.6376 1 -4117.9513
340 0.12786834 0.081799907 7.2239778e-11 4.892773e-09 1.8752509 4.1846175 4.1846175 3.9635507 0 -4117.9513 0.20000173 -4116.6425 0.40000295 -4113.7666 0.60001651 -4113.7671 0.8000103 -4116.6422 1 -4117.9513
350 0.10279773 0.047079112 5.7132799e-11 3.8361823e-09 1.8788636 4.1831239 4.1831239 3.9635439 0 -4117.9513 0.20000113 -4116.6468 0.40000114 -4113.7681 0.60001552 -4113.7685 0.80000916 -4116.6465 1 -4117.9513
360 0.11564907 0.07160968 4.337982e-11 2.8848942e-09 1.8847743 4.1815393 4.1815393 3.9635484 0 -4117.9513 0.20000037 -4116.6518 0.40000205 -4113.7697 0.60001185 -4113.7701 0.80000821 -4116.6515 1 -4117.9513
370 0.10231892 0.041354144 3.4014302e-11 2.244546e-09 1.8887778 4.1799844 4.1799844 3.9635432 0 -4117.9513 0.19999971 -4116.6561 0.39999669 -4113.7713 0.60001515 -4113.7716 0.8000076 -4116.6558 1 -4117.9513
380 0.10196682 0.01423402 2.6890013e-11 1.7625412e-09 1.8933082 4.1785545 4.1785545 3.9635409 0 -4117.9513 0.19999904 -4116.6603 0.39999783 -4113.7727 0.60001231 -4113.7731 0.80000722 -4116.66 1 -4117.9513
390 0.10179027 0.020380192 2.0863741e-11 1.3587743e-09 1.8982334 4.1770247 4.1770247 3.9635412 0 -4117.9513 0.19999859 -4116.6648 0.39999706 -4113.7742 0.60001156 -4113.7746 0.80000672 -4116.6645 1 -4117.9513
400 0.10157203 0.014128494 1.6319588e-11 1.0561564e-09 1.9027688 4.1755306 4.1755306 3.9635409 0 -4117.9513 0.19999831 -4116.6692 0.3999969 -4113.7757 0.60001045 -4113.7761 0.80000622 -4116.6688 1 -4117.9513
410 0.10136662 0.0073601436 1.2800613e-11 8.2274873e-10 1.9073102 4.174041 4.174041 3.9635406 0 -4117.9513 0.19999805 -4116.6735 0.3999964 -4113.7772 0.60000989 -4113.7776 0.80000582 -4116.6731 1 -4117.9513
420 0.10114621 0.0054213007 9.6946657e-12 6.1915615e-10 1.9129614 4.1723406 4.1723406 3.9635406 0 -4117.9513 0.19999794 -4116.6783 0.39999562 -4113.7789 0.60000962 -4113.7792 0.80000529 -4116.678 1 -4117.9513
430 0.13254373 0.084922618 7.2303277e-12 4.5996397e-10 1.9200612 4.170695 4.170695 3.9635517 0 -4117.9513 0.19999736 -4116.6834 0.39999618 -4113.7806 0.60000816 -4113.7809 0.80000532 -4116.683 1 -4117.9513
440 0.10103902 0.055573317 5.5563046e-12 3.5107155e-10 1.9240419 4.1689923 4.1689923 3.9635452 0 -4117.9513 0.19999751 -4116.688 0.39999668 -4113.7823 0.60000699 -4113.7826 0.80000475 -4116.6876 1 -4117.9513
450 0.10072754 0.041128569 4.4607899e-12 2.8210702e-10 1.9279751 4.1676238 4.1676238 3.9635431 0 -4117.9513 0.19999719 -4116.6917 0.39999517 -4113.7836 0.60000804 -4113.784 0.80000478 -4116.6913 1 -4117.9513
460 0.10061772 0.04781679 3.5616043e-12 2.2333384e-10 1.9325255 4.1662069 4.1662069 3.963544 0 -4117.9513 0.19999696 -4116.6956 0.39999523 -4113.7851 0.60000754 -4113.7854 0.80000475 -4116.6953 1 -4117.9513
470 0.10021559 0.017444012 2.7661611e-12 1.7279963e-10 1.9367594 4.1646077 4.1646077 3.963541 0 -4117.9513 0.19999712 -4116.6999 0.39999641 -4113.7867 0.60000594 -4113.787 0.80000433 -4116.6996 1 -4117.9513
480 0.10012887 0.036315299 2.1334086e-12 1.3341705e-10 1.9417381 4.1630127 4.1630127 3.9635425 0 -4117.9513 0.19999664 -4116.7043 0.39999321 -4113.7883 0.60000879 -4113.7886 0.80000459 -4116.7039 1 -4117.9513
490 0.099944027 0.034999111 1.7123005e-12 1.0647618e-10 1.9459574 4.1616155 4.1616155 3.9635424 0 -4117.9513 0.19999641 -4116.708 0.3999938 -4113.7897 0.60000793 -4113.79 0.80000466 -4116.7077 1 -4117.9513
500 0.099750605 0.032087029 1.3679536e-12 8.500411e-11 1.9502279 4.1602071 4.1602071 3.9635421 0 -4117.9513 0.19999641 -4116.7118 0.39999387 -4113.7911 0.60000762 -4113.7914 0.80000452 -4116.7114 1 -4117.9513
510 0.099558265 0.027180879 1.103498e-12 6.7834871e-11 1.9543487 4.1587883 4.1587883 3.9635417 0 -4117.9513 0.19999644 -4116.7155 0.39999384 -4113.7925 0.60000746 -4113.7928 0.80000436 -4116.7152 1 -4117.9513
520 0.099366608 0.021005719 8.6846211e-13 5.3971582e-11 1.9584607 4.1573452 4.1573452 3.9635412 0 -4117.9513 0.19999647 -4116.7193 0.39999386 -4113.7939 0.60000725 -4113.7942 0.80000422 -4116.7189 1 -4117.9513
530 0.099154929 0.0025904489 6.8894002e-13 4.2408458e-11 1.9629103 4.1558184 4.1558184 3.9635406 0 -4117.9513 0.19999654 -4116.7233 0.39999403 -4113.7954 0.60000692 -4113.7958 0.80000404 -4116.7229 1 -4117.9513
540 0.1186954 0.072890784 4.9653702e-13 3.0092181e-11 1.9706572 4.1537432 4.1537432 3.9635488 0 -4117.9513 0.19999589 -4116.7289 0.39999183 -4113.7975 0.60000887 -4113.7978 0.80000456 -4116.7285 1 -4117.9513
550 0.098841985 0.035294111 3.7308646e-13 2.3398599e-11 1.9740844 4.1520825 4.1520825 3.9635424 0 -4117.9513 0.19999602 -4116.733 0.39999451 -4113.7992 0.60000606 -4113.7995 0.80000435 -4116.7326 1 -4117.9513
560 0.098608306 0.027941004 2.9435142e-13 1.7908787e-11 1.9790211 4.1503644 4.1503644 3.9635417 0 -4117.9513 0.19999626 -4116.7373 0.39999453 -4113.8009 0.60000592 -4113.8012 0.80000403 -4116.737 1 -4117.9513
570 0.098417833 0.028049796 2.2601212e-13 1.3847021e-11 1.9839003 4.1487071 4.1487071 3.9635417 0 -4117.9513 0.19999637 -4116.7415 0.39999429 -4113.8026 0.60000608 -4113.8029 0.80000387 -4116.7411 1 -4117.9513
580 0.098162936 0.0078361689 1.6986903e-13 1.0738538e-11 1.9880094 4.147037 4.147037 3.9635407 0 -4117.9513 0.19999647 -4116.7456 0.39999208 -4113.8042 0.60000821 -4113.8045 0.80000373 -4116.7452 1 -4117.9513
590 0.097940704 0.0080187256 1.2391427e-13 7.841594e-12 1.99418 4.1450328 4.1450328 3.9635407 0 -4117.9513 0.19999673 -4116.7506 0.39999626 -4113.8062 0.60000398 -4113.8065 0.80000342 -4116.7503 1 -4117.9513
600 0.14142401 0.091247606 9.781873e-14 5.8296158e-12 2.0014445 4.1432356 4.1432356 3.9635533 0 -4117.9513 0.19999583 -4116.7553 0.39999319 -4113.808 0.60000692 -4113.8083 0.80000426 -4116.755 1 -4117.9513
610 0.097603957 0.02178359 7.2312526e-14 4.5656875e-12 2.0041101 4.1415001 4.1415001 3.9635413 0 -4117.9513 0.19999624 -4116.7592 0.39999332 -4113.8098 0.60000676 -4113.8101 0.80000382 -4116.7588 1 -4117.9513
620 0.097351727 0.0055987319 4.5400404e-14 3.3448858e-12 2.0096937 4.1394551 4.1394551 3.9635406 0 -4117.9513 0.19999659 -4116.7641 0.39999291 -4113.8118 0.60000712 -4113.8121 0.80000344 -4116.7637 1 -4117.9513
630 0.09724268 0.029704865 3.9062517e-14 2.5516296e-12 2.0150919 4.1376732 4.1376732 3.9635419 0 -4117.9513 0.19999646 -4116.7684 0.39999437 -4113.8136 0.60000562 -4113.8139 0.80000356 -4116.768 1 -4117.9513
640 0.096971475 0.002537992 3.2148289e-14 1.9584272e-12 2.0192999 4.135918 4.135918 3.9635406 0 -4117.9513 0.19999643 -4116.7725 0.39999147 -4113.8153 0.60000852 -4113.8157 0.80000358 -4116.7721 1 -4117.9513
650 0.096780944 0.011618636 9.3509931e-15 1.4650839e-12 2.0251579 4.1339415 4.1339415 3.9635408 0 -4117.9513 0.19999638 -4116.7771 0.39999337 -4113.8173 0.60000662 -4113.8176 0.80000362 -4116.7768 1 -4117.9513
660 0.096609899 0.02128691 2.2390202e-14 1.1076202e-12 2.0304208 4.1320196 4.1320196 3.9635412 0 -4117.9513 0.19999636 -4116.7816 0.39999345 -4113.8192 0.60000651 -4113.8196 0.80000362 -4116.7812 1 -4117.9513
670 0.096399279 0.0025490786 2.2188964e-14 8.6580795e-13 2.0347195 4.1303735 4.1303735 3.9635406 0 -4117.9513 0.19999635 -4116.7854 0.39999358 -4113.8209 0.60000636 -4113.8212 0.80000363 -4116.785 1 -4117.9513
680 0.096232465 0.026481903 1.8984738e-14 6.3070013e-13 2.0409246 4.1280884 4.1280884 3.9635416 0 -4117.9513 0.1999967 -4116.7906 0.39999327 -4113.8232 0.60000669 -4113.8235 0.80000328 -4116.7902 1 -4117.9513
690 0.096052522 0.021226086 1.3804772e-14 4.9666986e-13 2.0451123 4.1264919 4.1264919 3.9635412 0 -4117.9513 0.19999648 -4116.7942 0.39999343 -4113.8248 0.60000653 -4113.8251 0.8000035 -4116.7938 1 -4117.9513
700 0.095870667 0.015520626 1.3395065e-14 3.8233939e-13 2.0494869 4.1248361 4.1248361 3.9635409 0 -4117.9513 0.19999642 -4116.7979 0.39999354 -4113.8264 0.60000639 -4113.8268 0.80000355 -4116.7975 1 -4117.9513
710 0.095669427 0.0062350293 9.2676358e-15 2.9916914e-13 2.0544714 4.1230266 4.1230266 3.9635406 0 -4117.9513 0.1999965 -4116.8019 0.39999375 -4113.8282 0.60000619 -4113.8286 0.80000346 -4116.8015 1 -4117.9513
720 0.095531146 0.021105777 1.7520017e-14 2.3330261e-13 2.0589439 4.1211959 4.1211959 3.9635412 0 -4117.9513 0.19999648 -4116.8059 0.39999312 -4113.8301 0.60000684 -4113.8304 0.8000035 -4116.8056 1 -4117.9513
730 0.095322996 0.013741277 6.4559771e-15 1.7143495e-13 2.0636374 4.11936 4.11936 3.9635409 0 -4117.9513 0.19999653 -4116.8099 0.39999322 -4113.8319 0.60000673 -4113.8322 0.80000345 -4116.8096 1 -4117.9513
740 0.14370742 0.091911051 1.1532734e-14 1.26923e-13 2.0705366 4.1174981 4.1174981 3.9635532 0 -4117.9513 0.1999961 -4116.8143 0.39999385 -4113.8338 0.60000609 -4113.8341 0.80000387 -4116.8139 1 -4117.9513
750 0.095114587 0.040126988 1.1532734e-14 9.7902992e-14 2.0736526 4.115817 4.115817 3.9635431 0 -4117.9513 0.19999637 -4116.8176 0.39999348 -4113.8354 0.60000645 -4113.8358 0.8000036 -4116.8173 1 -4117.9513
760 0.094999911 0.04613453 1.151629e-14 8.6008508e-14 2.0781259 4.1141261 4.1141261 3.9635439 0 -4117.9513 0.19999629 -4116.8213 0.3999934 -4113.8371 0.60000653 -4113.8375 0.80000367 -4116.8209 1 -4117.9513
770 0.13925658 0.088158419 1.13311e-14 6.786708e-14 2.0837704 4.1122936 4.1122936 3.9635522 0 -4117.9513 0.19999607 -4116.8254 0.39999416 -4113.839 0.60000579 -4113.8393 0.80000389 -4116.825 1 -4117.9513
780 0.09443739 0.0080351497 8.8453242e-15 4.1893409e-14 2.0874624 4.1101346 4.1101346 3.9635407 0 -4117.9513 0.19999674 -4116.8296 0.39999225 -4113.8411 0.60000766 -4113.8415 0.80000322 -4116.8292 1 -4117.9513
790 0.094282455 0.019599529 9.5013301e-15 2.6442984e-14 2.0924047 4.1081687 4.1081687 3.9635412 0 -4117.9513 0.19999641 -4116.8337 0.39999319 -4113.8431 0.60000664 -4113.8434 0.80000353 -4116.8333 1 -4117.9513
800 0.094075311 0.0045366956 1.0772909e-14 3.1207221e-14 2.0971246 4.1062825 4.1062825 3.9635406 0 -4117.9513 0.19999645 -4116.8376 0.39999366 -4113.845 0.60000608 -4113.8453 0.80000345 -4116.8372 1 -4117.9513
810 0.094086092 0.046584811 1.5249713e-14 1.3544876e-14 2.1033311 4.1041052 4.1041052 3.9635439 0 -4117.9513 0.19999648 -4116.8421 0.39999532 -4113.8472 0.6000045 -4113.8475 0.80000342 -4116.8418 1 -4117.9513
820 0.15558643 0.10057302 6.0550835e-15 2.7956605e-14 2.109964 4.1022592 4.1022592 3.963556 0 -4117.9513 0.19999577 -4116.8461 0.39999294 -4113.849 0.60000686 -4113.8494 0.80000412 -4116.8458 1 -4117.9513
830 0.28323605 0.19687468 2.0671928e-14 2.3254607e-14 2.1233831 4.1000837 4.1000837 3.9636002 0 -4117.9513 0.19999415 -4116.8515 0.39999127 -4113.8512 0.60000852 -4113.8515 0.80000574 -4116.8512 1 -4117.9513
840 0.13040108 0.080598489 6.2069599e-15 1.1256889e-14 2.1208552 4.097403 4.097403 3.9635504 0 -4117.9513 0.19999504 -4116.8556 0.39999128 -4113.8539 0.60000859 -4113.8542 0.80000488 -4116.8553 1 -4117.9513
850 0.093185329 0.028341964 6.677859e-15 1.4022553e-14 2.1237601 4.0955696 4.0955696 3.9635419 0 -4117.9513 0.19999568 -4116.8591 0.3999941 -4113.8557 0.60000576 -4113.856 0.80000424 -4116.8588 1 -4117.9513
860 0.092944545 0.0073098879 6.6930481e-15 6.2353857e-15 2.1278283 4.0936862 4.0936862 3.9635407 0 -4117.9513 0.1999961 -4116.8627 0.39999333 -4113.8576 0.60000649 -4113.8579 0.80000382 -4116.8624 1 -4117.9513
870 0.092891437 0.039012035 4.5238771e-15 1.3973704e-14 2.1330897 4.0917097 4.0917097 3.9635429 0 -4117.9513 0.1999962 -4116.8666 0.39999303 -4113.8596 0.60000674 -4113.8599 0.8000037 -4116.8663 1 -4117.9513
880 0.10589938 0.058883606 4.5238771e-15 1.4589967e-14 2.138204 4.0897485 4.0897485 3.9635457 0 -4117.9513 0.19999621 -4116.8704 0.39999331 -4113.8615 0.60000644 -4113.8619 0.80000367 -4116.8701 1 -4117.9513
890 0.092429184 0.0036965854 8.7113138e-15 1.4026728e-14 2.1425471 4.0876248 4.0876248 3.9635406 0 -4117.9513 0.19999674 -4116.8744 0.39999332 -4113.8636 0.60000647 -4113.864 0.80000314 -4116.874 1 -4117.9513
900 0.097936105 0.050734034 8.5827682e-15 1.2821285e-14 2.1482424 4.0853339 4.0853339 3.9635444 0 -4117.9513 0.19999643 -4116.8788 0.39999476 -4113.8659 0.60000507 -4113.8663 0.80000346 -4116.8785 1 -4117.9513
910 0.092109837 0.018586227 8.9017659e-15 1.1869219e-14 2.1525762 4.0834394 4.0834394 3.9635411 0 -4117.9513 0.1999963 -4116.8823 0.39999326 -4113.8678 0.60000661 -4113.8682 0.80000361 -4116.8819 1 -4117.9513
920 0.12555473 0.075692458 8.8689929e-15 6.90628e-15 2.1583093 4.0814708 4.0814708 3.9635495 0 -4117.9513 0.19999609 -4116.8861 0.39999293 -4113.8698 0.60000701 -4113.8701 0.80000385 -4116.8858 1 -4117.9513
930 0.091834255 0.032940895 8.8689929e-15 7.8055899e-15 2.1614973 4.0794939 4.0794939 3.9635422 0 -4117.9513 0.19999633 -4116.8896 0.39999381 -4113.8718 0.60000619 -4113.8721 0.80000364 -4116.8893 1 -4117.9513
940 0.091637193 0.026709056 8.8689929e-15 7.833554e-15 2.1658336 4.0775548 4.0775548 3.9635416 0 -4117.9513 0.19999642 -4116.8932 0.39999423 -4113.8737 0.60000583 -4113.8741 0.80000359 -4116.8928 1 -4117.9513
950 0.22539179 0.15307016 9.8074147e-15 1.5314519e-14 2.1759029 4.0754106 4.0754106 3.9635737 0 -4117.9513 0.19999544 -4116.8976 0.39999257 -4113.8759 0.60000753 -4113.8761 0.80000463 -4116.8973 1 -4117.9513
960 0.11616399 0.066928323 1.1257402e-14 1.1830459e-14 2.1771093 4.0731549 4.0731549 3.9635469 0 -4117.9513 0.19999601 -4116.9012 0.39999314 -4113.8781 0.60000797 -4113.8785 0.80000438 -4116.9009 1 -4117.9513
970 0.091043984 0.0025158736 1.2166612e-14 7.0558312e-15 2.1809235 4.0710492 4.0710492 3.9635406 0 -4117.9513 0.19999646 -4116.9048 0.39999366 -4113.8802 0.60000725 -4113.8806 0.80000403 -4116.9045 1 -4117.9513
980 0.090928642 0.030988053 1.2066625e-14 4.3460479e-15 2.1860875 4.0686702 4.0686702 3.963542 0 -4117.9513 0.19999657 -4116.9091 0.39999327 -4113.8826 0.60000727 -4113.883 0.80000381 -4116.9088 1 -4117.9513
990 0.090721045 0.027028394 9.9656264e-15 4.1254536e-15 2.1913589 4.0663879 4.0663879 3.9635416 0 -4117.9513 0.19999693 -4116.9131 0.39999654 -4113.8849 0.60000391 -4113.8853 0.80000336 -4116.9128 1 -4117.9513
1000 0.090500856 0.0026546383 5.3419257e-15 9.127548e-15 2.1964857 4.0642015 4.0642015 3.9635406 0 -4117.9513 0.19999702 -4116.9168 0.39999249 -4113.8871 0.60000798 -4113.8874 0.80000323 -4116.9165 1 -4117.9513
1010 0.10473235 0.056426155 9.3691315e-15 2.7093415e-15 2.2022704 4.0619592 4.0619592 3.9635455 0 -4117.9513 0.19999643 -4116.9208 0.39999394 -4113.8893 0.60000655 -4113.8897 0.80000382 -4116.9205 1 -4117.9513
1020 0.097499139 0.049145522 9.3691315e-15 2.7093415e-15 2.206079 4.060128 4.060128 3.9635444 0 -4117.9513 0.19999626 -4116.9239 0.39999383 -4113.8911 0.60000668 -4113.8915 0.80000402 -4116.9236 1 -4117.9513
1030 0.099973399 0.051524362 9.3691315e-15 2.7093415e-15 2.2102747 4.0582543 4.0582543 3.9635448 0 -4117.9513 0.1999963 -4116.9271 0.39999406 -4113.893 0.60000639 -4113.8934 0.80000396 -4116.9268 1 -4117.9513
1040 0.098739778 0.050153527 9.3691315e-15 2.7093415e-15 2.2141731 4.0563758 4.0563758 3.9635446 0 -4117.9513 0.19999637 -4116.9303 0.399994 -4113.8949 0.60000639 -4113.8953 0.80000386 -4116.93 1 -4117.9513
1050 0.094028912 0.045109902 9.3691315e-15 2.7093415e-15 2.2180097 4.0544957 4.0544957 3.9635438 0 -4117.9513 0.19999644 -4116.9334 0.39999385 -4113.8968 0.60000647 -4113.8972 0.80000376 -4116.9331 1 -4117.9513
1060 0.089735519 0.039437122 9.3691315e-15 2.7093415e-15 2.2220263 4.0526038 4.0526038 3.963543 0 -4117.9513 0.1999965 -4116.9366 0.39999375 -4113.8987 0.60000651 -4113.899 0.80000367 -4116.9363 1 -4117.9513
1070 0.089558938 0.034574778 9.3691315e-15 2.7093415e-15 2.2260349 4.0507015 4.0507015 3.9635424 0 -4117.9513 0.19999653 -4116.9397 0.3999937 -4113.9006 0.6000065 -4113.9009 0.80000361 -4116.9394 1 -4117.9513
