type charge x y z
1025 3 -2 4.67409 13.0723 27.4086 

1025 3 -2 3.99716 11.2773 27.4087 

1025 3 -2 3.32018 9.4824 27.4088 

1025 3 -2 2.64327 7.68749 27.4088 

1025 3 -2 1.96643 13.4407 27.4087 

1025 3 -2 1.28951 11.6456 27.4087 

1025 3 -2 0.612642 9.85065 27.4085 

1025 3 -2 7.48389 8.05583 27.4089 

1025 3 -2 6.80693 13.809 27.4086 

1025 3 -2 6.13005 12.0139 27.4087 

1025 3 -2 5.45313 10.219 27.4088 

1025 3 -2 4.77616 8.42408 27.4088 

1025 3 -2 4.09928 14.1773 27.4086 

1025 3 -2 3.42236 12.3822 27.4086 

1025 3 -2 2.74541 10.5872 27.4087 

1025 3 -2 2.06848 8.79233 27.4087 

1025 3 -2 1.39169 14.5455 27.4084 

1025 3 -2 0.714761 12.7505 27.4087 

1025 3 -2 0.0378936 10.9555 27.4086 

1025 3 -2 6.9091 9.16067 27.4087 

1025 3 -2 6.23212 14.9139 27.4085 

1025 3 -2 5.55523 13.1189 27.4086 

