type charge x y z
1025 3 -0.498123 5.63647 5.68301 22.6457 

1025 3 -0.496926 5.67386 5.67069 22.6759 

1025 3 -0.496236 5.70547 2.75916 22.6689 

1025 3 -0.494141 5.63497 2.86347 22.6463 

1025 3 -0.497294 2.88904 5.6818 22.6555 

1025 3 -0.496542 5.6652 5.65876 22.6694 

1025 3 -0.493171 2.82094 2.94981 22.6639 

1025 3 -0.496339 22.6035 5.65127 22.702 

1025 3 -0.493798 -0.0349985 8.55156 22.6871 

1025 3 -0.496996 8.59586 5.59061 22.673 

1025 3 -0.492602 5.62498 2.84083 22.6817 

1025 3 -0.493261 5.59889 2.80346 22.6843 

1025 3 -0.493508 5.58211 0.0355748 22.6808 

1025 3 -0.494624 5.62636 5.73324 22.6979 

1025 3 -0.493498 2.79067 2.87236 22.6827 

1025 3 -0.493357 2.87166 5.6559 22.7298 

1025 3 -0.496168 2.83851 22.5996 22.7637 

1025 3 -0.493787 2.83258 5.68442 22.7062 

1025 3 -0.49693 22.6416 2.85049 22.6875 

1025 3 -0.494597 0.0434389 2.85836 22.69 

1025 3 -0.494075 8.48606 22.6373 22.7012 

1025 3 -0.496395 5.65635 5.67622 22.6723 

1025 3 -0.500509 2.78278 5.71305 22.6251 

1025 3 -0.496221 5.66045 2.81361 22.622 

1025 3 -0.495225 5.69017 2.78701 22.6729 

1025 3 -0.497156 5.70329 5.6343 22.6306 

1025 3 -0.498282 2.78156 5.67304 22.6798 

1025 3 -0.492653 2.87603 2.89527 22.6708 

1025 3 -0.493986 2.80279 2.91806 22.6948 

1025 3 -0.496059 19.7307 8.50262 22.6428 

1025 3 -0.495279 22.7037 5.65006 22.6982 

1025 3 -0.495758 8.45284 2.84736 22.6822 

1025 3 -0.493081 5.665 2.85766 22.7278 

1025 3 -0.495833 5.67104 -0.0295703 22.6348 

1025 3 -0.498138 8.57218 5.58391 22.6471 

1025 3 -0.496515 5.64605 2.83361 22.6479 

1025 3 -0.492191 2.77464 2.83401 22.7069 

1025 3 -0.492537 2.86552 22.6522 22.729 

1025 3 -0.49503 2.8361 5.72089 22.7272 

1025 3 -0.497118 5.75781 5.76488 22.6433 

1025 3 -0.495589 2.87115 2.95299 22.6772 

1025 3 -0.493505 22.6303 0.0469263 22.6791 

1025 3 -0.495347 -0.00933681 5.67981 22.6842 

1025 3 -0.496599 5.7162 8.56009 22.6815 

1025 3 -0.488953 5.6074 2.88373 22.7331 

1025 3 -0.496107 5.67577 2.90137 22.6678 

1025 3 -0.493203 8.4779 5.62704 22.6785 

1025 3 -0.496294 2.77349 5.7853 22.6764 

1025 3 -0.497915 2.84953 2.87891 22.6355 

1025 3 -0.496601 2.85035 2.92589 22.6879 

1025 3 -0.494527 2.85749 0.0461255 22.7104 

1025 3 -0.495576 2.87035 5.62572 22.6724 

1025 3 -0.492391 0.0144455 2.83237 22.6765 

1025 3 -0.493311 22.6145 2.8795 22.653 

1025 3 -0.498287 8.54958 -0.0819315 22.6296 

1025 3 -0.493804 5.66398 5.66563 22.6999 

1025 3 -0.496537 5.73046 5.67894 22.6687 

1025 3 -0.493374 5.71479 5.66274 22.7117 

1025 3 -0.494514 5.60466 19.7707 22.675 

1025 3 -0.495667 2.86925 5.66705 22.6406 

1025 3 -0.496862 2.78801 5.68311 22.7148 

1025 3 -0.494073 2.88423 2.94211 22.7262 

1025 3 -0.494515 5.65759 22.7022 22.659 

1025 3 -0.493725 -0.0181328 5.57843 22.7027 

1025 3 -0.494672 19.7707 5.66791 22.6823 

1025 3 -0.491681 8.47923 2.88259 22.7041 

1025 3 -0.495984 5.69802 2.84458 22.6664 

1025 3 -0.495919 5.66265 8.53982 22.6958 

1025 3 -0.495472 5.63875 5.73128 22.6801 

1025 3 -0.495382 5.66605 2.85102 22.6948 

1025 3 -0.494624 2.84393 2.89503 22.6926 

1025 3 -0.496764 2.83441 0.0773549 22.7402 

1025 3 -0.499033 2.82405 5.68593 22.6616 

1025 3 -0.491278 2.79519 2.8282 22.7028 

1025 3 -0.494712 22.6601 2.81733 22.6758 

1025 3 -0.493219 -0.0939159 0.0261984 22.6813 

1025 3 -0.495777 8.54644 5.67371 22.6708 

1025 3 -0.492934 5.65776 5.66272 22.6926 

1025 3 -0.493763 5.73078 2.78411 22.6754 

1025 3 -0.498605 8.52696 -0.0442155 22.6076 

1025 3 -0.496727 5.59359 2.83266 22.6547 

1025 3 -0.498229 2.77912 5.76795 22.6672 

1025 3 -0.493797 2.87793 2.87689 22.7165 

1025 3 -0.494322 2.8293 22.6175 22.7042 

1025 3 -0.497353 2.86615 5.6777 22.6831 

1025 3 -0.495349 22.6595 8.47059 22.6596 

1025 3 -0.494393 -0.0792779 22.6772 22.671 

1025 3 -0.497004 8.44749 2.76944 22.6519 

1025 3 -0.492896 5.73474 8.49901 22.6819 

1025 3 -0.497553 5.65517 5.68014 22.6642 

1025 3 -0.497145 5.6989 2.7738 22.623 

1025 3 -0.490911 5.65551 2.81825 22.7172 

1025 3 -0.497514 2.81268 0.0717441 22.703 

1025 3 -0.497776 2.82947 5.66468 22.6477 

1025 3 -0.494611 2.76611 2.81771 22.6668 

1025 3 -0.492408 2.83454 2.83084 22.6989 

1025 3 -0.494534 -0.0559386 22.6989 22.6719 

1025 3 -0.49922 -0.0342589 5.5796 22.6786 

1025 3 -0.494598 8.52439 5.64551 22.6869 

1025 3 -0.494478 5.64553 2.89163 22.6557 

1025 3 -0.496608 5.70309 22.6173 22.6485 

1025 3 -0.495805 5.70245 5.6888 22.7121 

1025 3 -0.497924 5.63377 5.69111 22.5998 

1025 3 -0.496674 2.84096 2.86685 22.6498 

1025 3 -0.49285 22.5844 -0.00657401 22.7218 

1025 3 -0.498585 2.83139 5.75326 22.6588 

1025 3 -0.493361 2.81969 8.58336 22.6894 

