a b c d e
5491 1 14.2406 11.39248 76.899132
5492 1 15.66466 12.81654 78.32319
5493 1 17.08872 11.39248 76.899132
5494 1 18.51278 12.81654 78.32319
5495 1 19.93684 11.39248 76.899132
5496 1 21.3609 12.81654 78.32319
5497 1 22.78496 11.39248 76.899132
5498 1 24.20902 12.81654 78.32319
5499 1 25.63308 11.39248 76.899132
5500 1 27.05714 12.81654 78.32319
5501 1 0.0 14.2406 76.899132
5502 1 1.42406 15.66466 78.32319
5503 1 2.84812 14.2406 76.899132
5504 1 4.27218 15.66466 78.32319
5505 1 5.69624 14.2406 76.899132
5506 1 7.1203 15.66466 78.32319
5507 1 8.54436 14.2406 76.899132
5508 1 9.96842 15.66466 78.32319
5509 1 11.39248 14.2406 76.899132
5510 1 12.81654 15.66466 78.32319
5511 1 14.2406 14.2406 76.899132
5512 1 15.66466 15.66466 78.32319
5513 1 17.08872 14.2406 76.899132
5514 1 18.51278 15.66466 78.32319
5515 1 19.93684 14.2406 76.899132
5516 1 21.3609 15.66466 78.32319
5517 1 22.78496 14.2406 76.899132
5518 1 24.20902 15.66466 78.32319
5519 1 25.63308 14.2406 76.899132
5520 1 27.05714 15.66466 78.32319
5521 1 0.0 17.08872 76.899132
5522 1 1.42406 18.51278 78.32319
5523 1 2.84812 17.08872 76.899132
5524 1 4.27218 18.51278 78.32319
5525 1 5.69624 17.08872 76.899132
5526 1 7.1203 18.51278 78.32319
5527 1 8.54436 17.08872 76.899132
5528 1 9.96842 18.51278 78.32319
5529 1 11.39248 17.08872 76.899132
5530 1 12.81654 18.51278 78.32319
5531 1 14.2406 17.08872 76.899132
5532 1 15.66466 18.51278 78.32319
5533 1 17.08872 17.08872 76.899132
5534 1 18.51278 18.51278 78.32319
5535 1 19.93684 17.08872 76.899132
5536 1 21.3609 18.51278 78.32319
5537 1 22.78496 17.08872 76.899132
5538 1 24.20902 18.51278 78.32319
5539 1 25.63308 17.08872 76.899132
5540 1 27.05714 18.51278 78.32319
5541 1 0.0 19.93684 76.899132
5542 1 1.42406 21.3609 78.32319
5543 1 2.84812 19.93684 76.899132
5544 1 4.27218 21.3609 78.32319
5545 1 5.69624 19.93684 76.899132
5546 1 7.1203 21.3609 78.32319
5547 1 8.54436 19.93684 76.899132
5548 1 9.96842 21.3609 78.32319
5549 1 11.39248 19.93684 76.899132
5550 1 12.81654 21.3609 78.32319
5551 1 14.2406 19.93684 76.899132
5552 1 15.66466 21.3609 78.32319
5553 1 17.08872 19.93684 76.899132
5554 1 18.51278 21.3609 78.32319
5555 1 19.93684 19.93684 76.899132
5556 1 21.3609 21.3609 78.32319
5557 1 22.78496 19.93684 76.899132
5558 1 24.20902 21.3609 78.32319
5559 1 25.63308 19.93684 76.899132
5560 1 27.05714 21.3609 78.32319
5561 1 0.0 22.78496 76.899132
5562 1 1.42406 24.20902 78.32319
5563 1 2.84812 22.78496 76.899132
5564 1 4.27218 24.20902 78.32319
5565 1 5.69624 22.78496 76.899132
5566 1 7.1203 24.20902 78.32319
5567 1 8.54436 22.78496 76.899132
5568 1 9.96842 24.20902 78.32319
5569 1 11.39248 22.78496 76.899132
5570 1 12.81654 24.20902 78.32319
5571 1 14.2406 22.78496 76.899132
5572 1 15.66466 24.20902 78.32319
5573 1 17.08872 22.78496 76.899132
5574 1 18.51278 24.20902 78.32319
5575 1 19.93684 22.78496 76.899132
5576 1 21.3609 24.20902 78.32319
5577 1 22.78496 22.78496 76.899132
5578 1 24.20902 24.20902 78.32319
5579 1 25.63308 22.78496 76.899132
5580 1 27.05714 24.20902 78.32319
5581 1 0.0 25.63308 76.899132
5582 1 1.42406 27.05714 78.32319
5583 1 2.84812 25.63308 76.899132
5584 1 4.27218 27.05714 78.32319
5585 1 5.69624 25.63308 76.899132
5586 1 7.1203 27.05714 78.32319
5587 1 8.54436 25.63308 76.899132
5588 1 9.96842 27.05714 78.32319
5589 1 11.39248 25.63308 76.899132
5590 1 12.81654 27.05714 78.32319
5591 1 14.2406 25.63308 76.899132
5592 1 15.66466 27.05714 78.32319
5593 1 17.08872 25.63308 76.899132
5594 1 18.51278 27.05714 78.32319
5595 1 19.93684 25.63308 76.899132
5596 1 21.3609 27.05714 78.32319
5597 1 22.78496 25.63308 76.899132
5598 1 24.20902 27.05714 78.32319
5599 1 25.63308 25.63308 76.899132
5600 1 27.05714 27.05714 78.32319
5601 1 0.0 0.0 79.747248
5602 1 1.42406 1.42406 81.171306
5603 1 2.84812 0.0 79.747248
5604 1 4.27218 1.42406 81.171306
5605 1 5.69624 0.0 79.747248
5606 1 7.1203 1.42406 81.171306
5607 1 8.54436 0.0 79.747248
5608 1 9.96842 1.42406 81.171306
5609 1 11.39248 0.0 79.747248
5610 1 12.81654 1.42406 81.171306
5611 1 14.2406 0.0 79.747248
5612 1 15.66466 1.42406 81.171306
5613 1 17.08872 0.0 79.747248
5614 1 18.51278 1.42406 81.171306
5615 1 19.93684 0.0 79.747248
5616 1 21.3609 1.42406 81.171306
5617 1 22.78496 0.0 79.747248
5618 1 24.20902 1.42406 81.171306
5619 1 25.63308 0.0 79.747248
5620 1 27.05714 1.42406 81.171306
5621 1 0.0 2.84812 79.747248
5622 1 1.42406 4.27218 81.171306
5623 1 2.84812 2.84812 79.747248
5624 1 4.27218 4.27218 81.171306
5625 1 5.69624 2.84812 79.747248
5626 1 7.1203 4.27218 81.171306
5627 1 8.54436 2.84812 79.747248
5628 1 9.96842 4.27218 81.171306
5629 1 11.39248 2.84812 79.747248
5630 1 12.81654 4.27218 81.171306
5631 1 14.2406 2.84812 79.747248
5632 1 15.66466 4.27218 81.171306
5633 1 17.08872 2.84812 79.747248
5634 1 18.51278 4.27218 81.171306
5635 1 19.93684 2.84812 79.747248
5636 1 21.3609 4.27218 81.171306
5637 1 22.78496 2.84812 79.747248
5638 1 24.20902 4.27218 81.171306
5639 1 25.63308 2.84812 79.747248
5640 1 27.05714 4.27218 81.171306
5641 1 0.0 5.69624 79.747248
5642 1 1.42406 7.1203 81.171306
5643 1 2.84812 5.69624 79.747248
5644 1 4.27218 7.1203 81.171306
5645 1 5.69624 5.69624 79.747248
5646 1 7.1203 7.1203 81.171306
5647 1 8.54436 5.69624 79.747248
5648 1 9.96842 7.1203 81.171306
5649 1 11.39248 5.69624 79.747248
5650 1 12.81654 7.1203 81.171306
5651 1 14.2406 5.69624 79.747248
5652 1 15.66466 7.1203 81.171306
5653 1 17.08872 5.69624 79.747248
5654 1 18.51278 7.1203 81.171306
5655 1 19.93684 5.69624 79.747248
5656 1 21.3609 7.1203 81.171306
5657 1 22.78496 5.69624 79.747248
5658 1 24.20902 7.1203 81.171306
5659 1 25.63308 5.69624 79.747248
5660 1 27.05714 7.1203 81.171306
5661 1 0.0 8.54436 79.747248
5662 1 1.42406 9.96842 81.171306
5663 1 2.84812 8.54436 79.747248
5664 1 4.27218 9.96842 81.171306
5665 1 5.69624 8.54436 79.747248
5666 1 7.1203 9.96842 81.171306
5667 1 8.54436 8.54436 79.747248
5668 1 9.96842 9.96842 81.171306
5669 1 11.39248 8.54436 79.747248
5670 1 12.81654 9.96842 81.171306
5671 1 14.2406 8.54436 79.747248
5672 1 15.66466 9.96842 81.171306
5673 1 17.08872 8.54436 79.747248
5674 1 18.51278 9.96842 81.171306
5675 1 19.93684 8.54436 79.747248
5676 1 21.3609 9.96842 81.171306
5677 1 22.78496 8.54436 79.747248
5678 1 24.20902 9.96842 81.171306
5679 1 25.63308 8.54436 79.747248
5680 1 27.05714 9.96842 81.171306
5681 1 0.0 11.39248 79.747248
5682 1 1.42406 12.81654 81.171306
5683 1 2.84812 11.39248 79.747248
5684 1 4.27218 12.81654 81.171306
5685 1 5.69624 11.39248 79.747248
5686 1 7.1203 12.81654 81.171306
5687 1 8.54436 11.39248 79.747248
5688 1 9.96842 12.81654 81.171306
5689 1 11.39248 11.39248 79.747248
5690 1 12.81654 12.81654 81.171306
5691 1 14.2406 11.39248 79.747248
5692 1 15.66466 12.81654 81.171306
5693 1 17.08872 11.39248 79.747248
5694 1 18.51278 12.81654 81.171306
5695 1 19.93684 11.39248 79.747248
5696 1 21.3609 12.81654 81.171306
5697 1 22.78496 11.39248 79.747248
5698 1 24.20902 12.81654 81.171306
5699 1 25.63308 11.39248 79.747248
5700 1 27.05714 12.81654 81.171306
5701 1 0.0 14.2406 79.747248
5702 1 1.42406 15.66466 81.171306
5703 1 2.84812 14.2406 79.747248
5704 1 4.27218 15.66466 81.171306
5705 1 5.69624 14.2406 79.747248
5706 1 7.1203 15.66466 81.171306
5707 1 8.54436 14.2406 79.747248
5708 1 9.96842 15.66466 81.171306
5709 1 11.39248 14.2406 79.747248
5710 1 12.81654 15.66466 81.171306
5711 1 14.2406 14.2406 79.747248
5712 1 15.66466 15.66466 81.171306
5713 1 17.08872 14.2406 79.747248
5714 1 18.51278 15.66466 81.171306
5715 1 19.93684 14.2406 79.747248
5716 1 21.3609 15.66466 81.171306
5717 1 22.78496 14.2406 79.747248
5718 1 24.20902 15.66466 81.171306
5719 1 25.63308 14.2406 79.747248
5720 1 27.05714 15.66466 81.171306
5721 1 0.0 17.08872 79.747248
5722 1 1.42406 18.51278 81.171306
5723 1 2.84812 17.08872 79.747248
5724 1 4.27218 18.51278 81.171306
5725 1 5.69624 17.08872 79.747248
5726 1 7.1203 18.51278 81.171306
5727 1 8.54436 17.08872 79.747248
5728 1 9.96842 18.51278 81.171306
5729 1 11.39248 17.08872 79.747248
5730 1 12.81654 18.51278 81.171306
5731 1 14.2406 17.08872 79.747248
5732 1 15.66466 18.51278 81.171306
5733 1 17.08872 17.08872 79.747248
5734 1 18.51278 18.51278 81.171306
5735 1 19.93684 17.08872 79.747248
5736 1 21.3609 18.51278 81.171306
5737 1 22.78496 17.08872 79.747248
5738 1 24.20902 18.51278 81.171306
5739 1 25.63308 17.08872 79.747248
5740 1 27.05714 18.51278 81.171306
5741 1 0.0 19.93684 79.747248
5742 1 1.42406 21.3609 81.171306
5743 1 2.84812 19.93684 79.747248
5744 1 4.27218 21.3609 81.171306
5745 1 5.69624 19.93684 79.747248
5746 1 7.1203 21.3609 81.171306
5747 1 8.54436 19.93684 79.747248
5748 1 9.96842 21.3609 81.171306
5749 1 11.39248 19.93684 79.747248
5750 1 12.81654 21.3609 81.171306
5751 1 14.2406 19.93684 79.747248
5752 1 15.66466 21.3609 81.171306
5753 1 17.08872 19.93684 79.747248
5754 1 18.51278 21.3609 81.171306
5755 1 19.93684 19.93684 79.747248
5756 1 21.3609 21.3609 81.171306
5757 1 22.78496 19.93684 79.747248
5758 1 24.20902 21.3609 81.171306
5759 1 25.63308 19.93684 79.747248
5760 1 27.05714 21.3609 81.171306
5761 1 0.0 22.78496 79.747248
5762 1 1.42406 24.20902 81.171306
5763 1 2.84812 22.78496 79.747248
5764 1 4.27218 24.20902 81.171306
5765 1 5.69624 22.78496 79.747248
5766 1 7.1203 24.20902 81.171306
5767 1 8.54436 22.78496 79.747248
5768 1 9.96842 24.20902 81.171306
5769 1 11.39248 22.78496 79.747248
5770 1 12.81654 24.20902 81.171306
5771 1 14.2406 22.78496 79.747248
5772 1 15.66466 24.20902 81.171306
5773 1 17.08872 22.78496 79.747248
5774 1 18.51278 24.20902 81.171306
5775 1 19.93684 22.78496 79.747248
5776 1 21.3609 24.20902 81.171306
5777 1 22.78496 22.78496 79.747248
5778 1 24.20902 24.20902 81.171306
5779 1 25.63308 22.78496 79.747248
5780 1 27.05714 24.20902 81.171306
5781 1 0.0 25.63308 79.747248
5782 1 1.42406 27.05714 81.171306
5783 1 2.84812 25.63308 79.747248
5784 1 4.27218 27.05714 81.171306
5785 1 5.69624 25.63308 79.747248
5786 1 7.1203 27.05714 81.171306
5787 1 8.54436 25.63308 79.747248
5788 1 9.96842 27.05714 81.171306
5789 1 11.39248 25.63308 79.747248
5790 1 12.81654 27.05714 81.171306
5791 1 14.2406 25.63308 79.747248
5792 1 15.66466 27.05714 81.171306
5793 1 17.08872 25.63308 79.747248
5794 1 18.51278 27.05714 81.171306
5795 1 19.93684 25.63308 79.747248
5796 1 21.3609 27.05714 81.171306
5797 1 22.78496 25.63308 79.747248
5798 1 24.20902 27.05714 81.171306
5799 1 25.63308 25.63308 79.747248
5800 1 27.05714 27.05714 81.171306
5801 1 0.0 0.0 82.595364
5802 1 1.42406 1.42406 84.019422
5803 1 2.84812 0.0 82.595364
5804 1 4.27218 1.42406 84.019422
5805 1 5.69624 0.0 82.595364
5806 1 7.1203 1.42406 84.019422
5807 1 8.54436 0.0 82.595364
5808 1 9.96842 1.42406 84.019422
5809 1 11.39248 0.0 82.595364
5810 1 12.81654 1.42406 84.019422
5811 1 14.2406 0.0 82.595364
5812 1 15.66466 1.42406 84.019422
5813 1 17.08872 0.0 82.595364
5814 1 18.51278 1.42406 84.019422
5815 1 19.93684 0.0 82.595364
5816 1 21.3609 1.42406 84.019422
5817 1 22.78496 0.0 82.595364
5818 1 24.20902 1.42406 84.019422
5819 1 25.63308 0.0 82.595364
5820 1 27.05714 1.42406 84.019422
5821 1 0.0 2.84812 82.595364
5822 1 1.42406 4.27218 84.019422
5823 1 2.84812 2.84812 82.595364
5824 1 4.27218 4.27218 84.019422
5825 1 5.69624 2.84812 82.595364
5826 1 7.1203 4.27218 84.019422
5827 1 8.54436 2.84812 82.595364
5828 1 9.96842 4.27218 84.019422
5829 1 11.39248 2.84812 82.595364
5830 1 12.81654 4.27218 84.019422
5831 1 14.2406 2.84812 82.595364
5832 1 15.66466 4.27218 84.019422
5833 1 17.08872 2.84812 82.595364
5834 1 18.51278 4.27218 84.019422
5835 1 19.93684 2.84812 82.595364
5836 1 21.3609 4.27218 84.019422
5837 1 22.78496 2.84812 82.595364
5838 1 24.20902 4.27218 84.019422
5839 1 25.63308 2.84812 82.595364
5840 1 27.05714 4.27218 84.019422
5841 1 0.0 5.69624 82.595364
5842 1 1.42406 7.1203 84.019422
5843 1 2.84812 5.69624 82.595364
5844 1 4.27218 7.1203 84.019422
5845 1 5.69624 5.69624 82.595364
5846 1 7.1203 7.1203 84.019422
5847 1 8.54436 5.69624 82.595364
5848 1 9.96842 7.1203 84.019422
5849 1 11.39248 5.69624 82.595364
5850 1 12.81654 7.1203 84.019422
5851 1 14.2406 5.69624 82.595364
5852 1 15.66466 7.1203 84.019422
5853 1 17.08872 5.69624 82.595364
5854 1 18.51278 7.1203 84.019422
5855 1 19.93684 5.69624 82.595364
5856 1 21.3609 7.1203 84.019422
5857 1 22.78496 5.69624 82.595364
5858 1 24.20902 7.1203 84.019422
5859 1 25.63308 5.69624 82.595364
5860 1 27.05714 7.1203 84.019422
5861 1 0.0 8.54436 82.595364
5862 1 1.42406 9.96842 84.019422
5863 1 2.84812 8.54436 82.595364
5864 1 4.27218 9.96842 84.019422
5865 1 5.69624 8.54436 82.595364
5866 1 7.1203 9.96842 84.019422
5867 1 8.54436 8.54436 82.595364
5868 1 9.96842 9.96842 84.019422
5869 1 11.39248 8.54436 82.595364
5870 1 12.81654 9.96842 84.019422
5871 1 14.2406 8.54436 82.595364
5872 1 15.66466 9.96842 84.019422
5873 1 17.08872 8.54436 82.595364
5874 1 18.51278 9.96842 84.019422
5875 1 19.93684 8.54436 82.595364
5876 1 21.3609 9.96842 84.019422
5877 1 22.78496 8.54436 82.595364
5878 1 24.20902 9.96842 84.019422
5879 1 25.63308 8.54436 82.595364
5880 1 27.05714 9.96842 84.019422
5881 1 0.0 11.39248 82.595364
5882 1 1.42406 12.81654 84.019422
5883 1 2.84812 11.39248 82.595364
5884 1 4.27218 12.81654 84.019422
5885 1 5.69624 11.39248 82.595364
5886 1 7.1203 12.81654 84.019422
5887 1 8.54436 11.39248 82.595364
5888 1 9.96842 12.81654 84.019422
5889 1 11.39248 11.39248 82.595364
5890 1 12.81654 12.81654 84.019422
5891 1 14.2406 11.39248 82.595364
5892 1 15.66466 12.81654 84.019422
5893 1 17.08872 11.39248 82.595364
5894 1 18.51278 12.81654 84.019422
5895 1 19.93684 11.39248 82.595364
5896 1 21.3609 12.81654 84.019422
5897 1 22.78496 11.39248 82.595364
5898 1 24.20902 12.81654 84.019422
5899 1 25.63308 11.39248 82.595364
5900 1 27.05714 12.81654 84.019422
5901 1 0.0 14.2406 82.595364
5902 1 1.42406 15.66466 84.019422
5903 1 2.84812 14.2406 82.595364
5904 1 4.27218 15.66466 84.019422
5905 1 5.69624 14.2406 82.595364
5906 1 7.1203 15.66466 84.019422
5907 1 8.54436 14.2406 82.595364
5908 1 9.96842 15.66466 84.019422
5909 1 11.39248 14.2406 82.595364
5910 1 12.81654 15.66466 84.019422
5911 1 14.2406 14.2406 82.595364
5912 1 15.66466 15.66466 84.019422
5913 1 17.08872 14.2406 82.595364
5914 1 18.51278 15.66466 84.019422
5915 1 19.93684 14.2406 82.595364
5916 1 21.3609 15.66466 84.019422
5917 1 22.78496 14.2406 82.595364
5918 1 24.20902 15.66466 84.019422
5919 1 25.63308 14.2406 82.595364
5920 1 27.05714 15.66466 84.019422
5921 1 0.0 17.08872 82.595364
5922 1 1.42406 18.51278 84.019422
5923 1 2.84812 17.08872 82.595364
5924 1 4.27218 18.51278 84.019422
5925 1 5.69624 17.08872 82.595364
5926 1 7.1203 18.51278 84.019422
5927 1 8.54436 17.08872 82.595364
5928 1 9.96842 18.51278 84.019422
5929 1 11.39248 17.08872 82.595364
5930 1 12.81654 18.51278 84.019422
5931 1 14.2406 17.08872 82.595364
5932 1 15.66466 18.51278 84.019422
5933 1 17.08872 17.08872 82.595364
5934 1 18.51278 18.51278 84.019422
5935 1 19.93684 17.08872 82.595364
5936 1 21.3609 18.51278 84.019422
5937 1 22.78496 17.08872 82.595364
5938 1 24.20902 18.51278 84.019422
5939 1 25.63308 17.08872 82.595364
5940 1 27.05714 18.51278 84.019422
5941 1 0.0 19.93684 82.595364
5942 1 1.42406 21.3609 84.019422
5943 1 2.84812 19.93684 82.595364
5944 1 4.27218 21.3609 84.019422
5945 1 5.69624 19.93684 82.595364
5946 1 7.1203 21.3609 84.019422
5947 1 8.54436 19.93684 82.595364
5948 1 9.96842 21.3609 84.019422
5949 1 11.39248 19.93684 82.595364
5950 1 12.81654 21.3609 84.019422
5951 1 14.2406 19.93684 82.595364
5952 1 15.66466 21.3609 84.019422
5953 1 17.08872 19.93684 82.595364
5954 1 18.51278 21.3609 84.019422
5955 1 19.93684 19.93684 82.595364
5956 1 21.3609 21.3609 84.019422
5957 1 22.78496 19.93684 82.595364
5958 1 24.20902 21.3609 84.019422
5959 1 25.63308 19.93684 82.595364
5960 1 27.05714 21.3609 84.019422
5961 1 0.0 22.78496 82.595364
5962 1 1.42406 24.20902 84.019422
5963 1 2.84812 22.78496 82.595364
5964 1 4.27218 24.20902 84.019422
5965 1 5.69624 22.78496 82.595364
5966 1 7.1203 24.20902 84.019422
5967 1 8.54436 22.78496 82.595364
5968 1 9.96842 24.20902 84.019422
5969 1 11.39248 22.78496 82.595364
5970 1 12.81654 24.20902 84.019422
5971 1 14.2406 22.78496 82.595364
5972 1 15.66466 24.20902 84.019422
5973 1 17.08872 22.78496 82.595364
5974 1 18.51278 24.20902 84.019422
5975 1 19.93684 22.78496 82.595364
5976 1 21.3609 24.20902 84.019422
5977 1 22.78496 22.78496 82.595364
5978 1 24.20902 24.20902 84.019422
5979 1 25.63308 22.78496 82.595364
5980 1 27.05714 24.20902 84.019422
5981 1 0.0 25.63308 82.595364
5982 1 1.42406 27.05714 84.019422
5983 1 2.84812 25.63308 82.595364
5984 1 4.27218 27.05714 84.019422
5985 1 5.69624 25.63308 82.595364
5986 1 7.1203 27.05714 84.019422
5987 1 8.54436 25.63308 82.595364
5988 1 9.96842 27.05714 84.019422
5989 1 11.39248 25.63308 82.595364
5990 1 12.81654 27.05714 84.019422
5991 1 14.2406 25.63308 82.595364
5992 1 15.66466 27.05714 84.019422
5993 1 17.08872 25.63308 82.595364
5994 1 18.51278 27.05714 84.019422
5995 1 19.93684 25.63308 82.595364
5996 1 21.3609 27.05714 84.019422
5997 1 22.78496 25.63308 82.595364
5998 1 24.20902 27.05714 84.019422
5999 1 25.63308 25.63308 82.595364
6000 1 27.05714 27.05714 84.019422
6001 1 0.0 0.0 85.44348
6002 1 1.42406 1.42406 86.867538
6003 1 2.84812 0.0 85.44348
6004 1 4.27218 1.42406 86.867538
6005 1 5.69624 0.0 85.44348
6006 1 7.1203 1.42406 86.867538
6007 1 8.54436 0.0 85.44348
6008 1 9.96842 1.42406 86.867538
6009 1 11.39248 0.0 85.44348
6010 1 12.81654 1.42406 86.867538
6011 1 14.2406 0.0 85.44348
6012 1 15.66466 1.42406 86.867538
6013 1 17.08872 0.0 85.44348
6014 1 18.51278 1.42406 86.867538
6015 1 19.93684 0.0 85.44348
6016 1 21.3609 1.42406 86.867538
6017 1 22.78496 0.0 85.44348
6018 1 24.20902 1.42406 86.867538
6019 1 25.63308 0.0 85.44348
6020 1 27.05714 1.42406 86.867538
6021 1 0.0 2.84812 85.44348
6022 1 1.42406 4.27218 86.867538
6023 1 2.84812 2.84812 85.44348
6024 1 4.27218 4.27218 86.867538
6025 1 5.69624 2.84812 85.44348
6026 1 7.1203 4.27218 86.867538
6027 1 8.54436 2.84812 85.44348
6028 1 9.96842 4.27218 86.867538
6029 1 11.39248 2.84812 85.44348
6030 1 12.81654 4.27218 86.867538
6031 1 14.2406 2.84812 85.44348
6032 1 15.66466 4.27218 86.867538
6033 1 17.08872 2.84812 85.44348
6034 1 18.51278 4.27218 86.867538
6035 1 19.93684 2.84812 85.44348
6036 1 21.3609 4.27218 86.867538
6037 1 22.78496 2.84812 85.44348
6038 1 24.20902 4.27218 86.867538
6039 1 25.63308 2.84812 85.44348
6040 1 27.05714 4.27218 86.867538
6041 1 0.0 5.69624 85.44348
6042 1 1.42406 7.1203 86.867538
6043 1 2.84812 5.69624 85.44348
6044 1 4.27218 7.1203 86.867538
6045 1 5.69624 5.69624 85.44348
6046 1 7.1203 7.1203 86.867538
6047 1 8.54436 5.69624 85.44348
6048 1 9.96842 7.1203 86.867538
6049 1 11.39248 5.69624 85.44348
6050 1 12.81654 7.1203 86.867538
6051 1 14.2406 5.69624 85.44348
6052 1 15.66466 7.1203 86.867538
6053 1 17.08872 5.69624 85.44348
6054 1 18.51278 7.1203 86.867538
6055 1 19.93684 5.69624 85.44348
6056 1 21.3609 7.1203 86.867538
6057 1 22.78496 5.69624 85.44348
6058 1 24.20902 7.1203 86.867538
6059 1 25.63308 5.69624 85.44348
6060 1 27.05714 7.1203 86.867538
6061 1 0.0 8.54436 85.44348
6062 1 1.42406 9.96842 86.867538
6063 1 2.84812 8.54436 85.44348
6064 1 4.27218 9.96842 86.867538
6065 1 5.69624 8.54436 85.44348
6066 1 7.1203 9.96842 86.867538
6067 1 8.54436 8.54436 85.44348
6068 1 9.96842 9.96842 86.867538
6069 1 11.39248 8.54436 85.44348
6070 1 12.81654 9.96842 86.867538
6071 1 14.2406 8.54436 85.44348
6072 1 15.66466 9.96842 86.867538
6073 1 17.08872 8.54436 85.44348
6074 1 18.51278 9.96842 86.867538
6075 1 19.93684 8.54436 85.44348
6076 1 21.3609 9.96842 86.867538
6077 1 22.78496 8.54436 85.44348
6078 1 24.20902 9.96842 86.867538
6079 1 25.63308 8.54436 85.44348
6080 1 27.05714 9.96842 86.867538
6081 1 0.0 11.39248 85.44348
6082 1 1.42406 12.81654 86.867538
6083 1 2.84812 11.39248 85.44348
6084 1 4.27218 12.81654 86.867538
6085 1 5.69624 11.39248 85.44348
6086 1 7.1203 12.81654 86.867538
6087 1 8.54436 11.39248 85.44348
6088 1 9.96842 12.81654 86.867538
6089 1 11.39248 11.39248 85.44348
6090 1 12.81654 12.81654 86.867538
6091 1 14.2406 11.39248 85.44348
6092 1 15.66466 12.81654 86.867538
6093 1 17.08872 11.39248 85.44348
6094 1 18.51278 12.81654 86.867538
6095 1 19.93684 11.39248 85.44348
6096 1 21.3609 12.81654 86.867538
6097 1 22.78496 11.39248 85.44348
6098 1 24.20902 12.81654 86.867538
6099 1 25.63308 11.39248 85.44348
6100 1 27.05714 12.81654 86.867538
6101 1 0.0 14.2406 85.44348
6102 1 1.42406 15.66466 86.867538
6103 1 2.84812 14.2406 85.44348
6104 1 4.27218 15.66466 86.867538
6105 1 5.69624 14.2406 85.44348
6106 1 7.1203 15.66466 86.867538
6107 1 8.54436 14.2406 85.44348
6108 1 9.96842 15.66466 86.867538
6109 1 11.39248 14.2406 85.44348
6110 1 12.81654 15.66466 86.867538
6111 1 14.2406 14.2406 85.44348
6112 1 15.66466 15.66466 86.867538
6113 1 17.08872 14.2406 85.44348
6114 1 18.51278 15.66466 86.867538
6115 1 19.93684 14.2406 85.44348
6116 1 21.3609 15.66466 86.867538
6117 1 22.78496 14.2406 85.44348
6118 1 24.20902 15.66466 86.867538
6119 1 25.63308 14.2406 85.44348
6120 1 27.05714 15.66466 86.867538
6121 1 0.0 17.08872 85.44348
6122 1 1.42406 18.51278 86.867538
6123 1 2.84812 17.08872 85.44348
6124 1 4.27218 18.51278 86.867538
6125 1 5.69624 17.08872 85.44348
6126 1 7.1203 18.51278 86.867538
6127 1 8.54436 17.08872 85.44348
6128 1 9.96842 18.51278 86.867538
6129 1 11.39248 17.08872 85.44348
6130 1 12.81654 18.51278 86.867538
6131 1 14.2406 17.08872 85.44348
6132 1 15.66466 18.51278 86.867538
6133 1 17.08872 17.08872 85.44348
6134 1 18.51278 18.51278 86.867538
6135 1 19.93684 17.08872 85.44348
6136 1 21.3609 18.51278 86.867538
6137 1 22.78496 17.08872 85.44348
6138 1 24.20902 18.51278 86.867538
6139 1 25.63308 17.08872 85.44348
6140 1 27.05714 18.51278 86.867538
6141 1 0.0 19.93684 85.44348
6142 1 1.42406 21.3609 86.867538
6143 1 2.84812 19.93684 85.44348
6144 1 4.27218 21.3609 86.867538
6145 1 5.69624 19.93684 85.44348
6146 1 7.1203 21.3609 86.867538
6147 1 8.54436 19.93684 85.44348
6148 1 9.96842 21.3609 86.867538
6149 1 11.39248 19.93684 85.44348
6150 1 12.81654 21.3609 86.867538
6151 1 14.2406 19.93684 85.44348
6152 1 15.66466 21.3609 86.867538
6153 1 17.08872 19.93684 85.44348
6154 1 18.51278 21.3609 86.867538
6155 1 19.93684 19.93684 85.44348
6156 1 21.3609 21.3609 86.867538
6157 1 22.78496 19.93684 85.44348
6158 1 24.20902 21.3609 86.867538
6159 1 25.63308 19.93684 85.44348
6160 1 27.05714 21.3609 86.867538
6161 1 0.0 22.78496 85.44348
6162 1 1.42406 24.20902 86.867538
6163 1 2.84812 22.78496 85.44348
6164 1 4.27218 24.20902 86.867538
6165 1 5.69624 22.78496 85.44348
6166 1 7.1203 24.20902 86.867538
6167 1 8.54436 22.78496 85.44348
6168 1 9.96842 24.20902 86.867538
6169 1 11.39248 22.78496 85.44348
6170 1 12.81654 24.20902 86.867538
6171 1 14.2406 22.78496 85.44348
6172 1 15.66466 24.20902 86.867538
6173 1 17.08872 22.78496 85.44348
6174 1 18.51278 24.20902 86.867538
6175 1 19.93684 22.78496 85.44348
6176 1 21.3609 24.20902 86.867538
6177 1 22.78496 22.78496 85.44348
6178 1 24.20902 24.20902 86.867538
6179 1 25.63308 22.78496 85.44348
6180 1 27.05714 24.20902 86.867538
6181 1 0.0 25.63308 85.44348
6182 1 1.42406 27.05714 86.867538
6183 1 2.84812 25.63308 85.44348
6184 1 4.27218 27.05714 86.867538
6185 1 5.69624 25.63308 85.44348
6186 1 7.1203 27.05714 86.867538
6187 1 8.54436 25.63308 85.44348
6188 1 9.96842 27.05714 86.867538
6189 1 11.39248 25.63308 85.44348
6190 1 12.81654 27.05714 86.867538
6191 1 14.2406 25.63308 85.44348
6192 1 15.66466 27.05714 86.867538
