a b c d e
174 1 18.51278 24.20902 1.424058
175 1 19.93684 22.78496 0.0
176 1 21.3609 24.20902 1.424058
177 1 22.78496 22.78496 0.0
178 1 24.20902 24.20902 1.424058
179 1 25.63308 22.78496 0.0
180 1 27.05714 24.20902 1.424058
181 1 0.0 25.63308 0.0
182 1 1.42406 27.05714 1.424058
183 1 2.84812 25.63308 0.0
184 1 4.27218 27.05714 1.424058
185 1 5.69624 25.63308 0.0
186 1 7.1203 27.05714 1.424058
187 1 8.54436 25.63308 0.0
188 1 9.96842 27.05714 1.424058
189 1 11.39248 25.63308 0.0
190 1 12.81654 27.05714 1.424058
191 1 14.2406 25.63308 0.0
192 1 15.66466 27.05714 1.424058
193 1 17.08872 25.63308 0.0
194 1 18.51278 27.05714 1.424058
195 1 19.93684 25.63308 0.0
196 1 21.3609 27.05714 1.424058
197 1 22.78496 25.63308 0.0
198 1 24.20902 27.05714 1.424058
199 1 25.63308 25.63308 0.0
200 1 27.05714 27.05714 1.424058
201 1 0.0 0.0 2.848116
202 1 1.42406 1.42406 4.272174
203 1 2.84812 0.0 2.848116
204 1 4.27218 1.42406 4.272174
205 1 5.69624 0.0 2.848116
206 1 7.1203 1.42406 4.272174
207 1 8.54436 0.0 2.848116
208 1 9.96842 1.42406 4.272174
209 1 11.39248 0.0 2.848116
210 1 12.81654 1.42406 4.272174
211 1 14.2406 0.0 2.848116
212 1 15.66466 1.42406 4.272174
213 1 17.08872 0.0 2.848116
214 1 18.51278 1.42406 4.272174
215 1 19.93684 0.0 2.848116
216 1 21.3609 1.42406 4.272174
217 1 22.78496 0.0 2.848116
218 1 24.20902 1.42406 4.272174
219 1 25.63308 0.0 2.848116
220 1 27.05714 1.42406 4.272174
221 1 0.0 2.84812 2.848116
222 1 1.42406 4.27218 4.272174
223 1 2.84812 2.84812 2.848116
224 1 4.27218 4.27218 4.272174
225 1 5.69624 2.84812 2.848116
226 1 7.1203 4.27218 4.272174
227 1 8.54436 2.84812 2.848116
228 1 9.96842 4.27218 4.272174
229 1 11.39248 2.84812 2.848116
230 1 12.81654 4.27218 4.272174
231 1 14.2406 2.84812 2.848116
232 1 15.66466 4.27218 4.272174
233 1 17.08872 2.84812 2.848116
234 1 18.51278 4.27218 4.272174
235 1 19.93684 2.84812 2.848116
236 1 21.3609 4.27218 4.272174
237 1 22.78496 2.84812 2.848116
238 1 24.20902 4.27218 4.272174
239 1 25.63308 2.84812 2.848116
240 1 27.05714 4.27218 4.272174
241 1 0.0 5.69624 2.848116
242 1 1.42406 7.1203 4.272174
243 1 2.84812 5.69624 2.848116
244 1 4.27218 7.1203 4.272174
245 1 5.69624 5.69624 2.848116
246 1 7.1203 7.1203 4.272174
247 1 8.54436 5.69624 2.848116
248 1 9.96842 7.1203 4.272174
249 1 11.39248 5.69624 2.848116
250 1 12.81654 7.1203 4.272174
251 1 14.2406 5.69624 2.848116
252 1 15.66466 7.1203 4.272174
253 1 17.08872 5.69624 2.848116
254 1 18.51278 7.1203 4.272174
255 1 19.93684 5.69624 2.848116
256 1 21.3609 7.1203 4.272174
257 1 22.78496 5.69624 2.848116
258 1 24.20902 7.1203 4.272174
259 1 25.63308 5.69624 2.848116
260 1 27.05714 7.1203 4.272174
261 1 0.0 8.54436 2.848116
262 1 1.42406 9.96842 4.272174
263 1 2.84812 8.54436 2.848116
264 1 4.27218 9.96842 4.272174
265 1 5.69624 8.54436 2.848116
266 1 7.1203 9.96842 4.272174
267 1 8.54436 8.54436 2.848116
268 1 9.96842 9.96842 4.272174
269 1 11.39248 8.54436 2.848116
270 1 12.81654 9.96842 4.272174
271 1 14.2406 8.54436 2.848116
272 1 15.66466 9.96842 4.272174
